id,card_class,rarity,name_es,name_en,image,gold_coins,red_coins,life_cost,displayed_text_es,displayed_text_en,target,effect1,effect2,effect3,condition1,condition2,condition3,value1,value2,value3,turn_duration1,turn_duration2,turn_duration3,chance1,chance2,chance3,ethereal,content_version_id
11,arcane,common,Revelation of the Arcane,Revelation of the Arcane,res://assets/sprites/card-images/revelation-of-the-arcane.png,3,0,0,"Robás 5 cartas. Se EXILIA. Además, el oponente descarta 1 carta al azar con 45% de probabilidad.",,,player_draw_card,opponent_discard_random_card,,,,,5,1,,0,0,,100,45,,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
12,no_class,rare,Echo of Defeat,Echo of Defeat,res://assets/sprites/card-images/echo-of-defeat.png,4,0,0,"Hace 4 daños a una Invocación enemiga y 1 daño a todas las demás. Además, puede silenciar al objetivo por 1 turno con 45% de probabilidad.",,opponent_invo,deal_damage,deal_damage_all_invo,nerf_silence,,,,4,1,0,0,0,1,100,100,45,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
13,arcane,epic,Apocalypse Unbound,Apocalypse Unbound,res://assets/sprites/card-images/apocalypse-unbound.png,7,0,0,"Destruye todas las Invocaciones. Además, robás 1 carta con 35% de probabilidad.",,,destroy_all_invo,player_draw_card,,,,,1,0,,,0,,100,35,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
14,umbralist,common,Seal of Weakness,Seal of Weakness,res://assets/sprites/card-images/seal-of-weakness.png,1,0,0,Da -4 Ataque a una Invocación enemiga y puede silenciarla por 1 turno con 40% de probabilidad.,,opponent_invo,buff_attack,nerf_silence,,,,,-4,0,,0,1,,100,40,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
15,no_class,rare,Secrets of the Oracle,Secrets of the Oracle,res://assets/sprites/card-images/secrets-of-the-oracle.png,2,0,0,"Da -1 de Velocidad a todas las Invocaciones enemigas y robás 2 cartas. Se EXILIA. Además, el oponente descarta 1 carta al azar con 35% de probabilidad.",,,buff_speed_all_opponent_invo,player_draw_card,opponent_discard_random_card,,,,-1,2,1,0,0,0,100,100,35,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
16,no_class,common,Puppet Play,Puppet Play,res://assets/sprites/card-images/puppet-play.png,2,0,0,Da +2 de Velocidad a todas las Invocaciones aliadas y +1 de Ataque a todas ellas con 40% de probabilidad.,,,buff_speed_all_player_invo,buff_attack_all_player_invo,,,,,2,1,,0,0,,100,40,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
17,arcane,rare,Shadows of the Infinite,Shadows of the Infinite,res://assets/sprites/card-images/shadows-of-the-infinite.png,1,0,0,"Da -2 de Velocidad a una Invocación enemiga y robás 1 carta. Además, puede congelarla por 1 turno con 35% de probabilidad.",,opponent_invo,buff_speed,player_draw_card,nerf_frozen,,,,-2,1,0,0,0,1,100,100,35,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
18,umbralist,common,Trap of Fate,Trap of Fate,res://assets/sprites/card-images/trap-of-fate.png,1,0,0,Da -5 de Velocidad a una Invocación enemiga y puede aturdirla por 1 turno con 40% de probabilidad.,,opponent_invo,buff_speed,nerf_stun,,,,,-5,0,,0,1,,100,40,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
19,umbralist,rare,Chant of the Buried,Chant of the Buried,res://assets/sprites/card-images/chant-of-the-buried.png,3,0,0,"Da +2 Salud a una Invocación aliada y obtenés 5 monedas doradas. Además, puede otorgarle 1 carga de Escudo Mágico por 1 turno con 35% de probabilidad.",,player_invo,buff_health,player_gain_gold_coins,buff_magic_shield,,,,2,5,1,0,0,1,100,100,35,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
20,arcane,common,Inflict Terror,Inflict Terror,res://assets/sprites/card-images/inflict-terror.png,5,0,0,"Destruye una Invocación enemiga. Además, el oponente descarta 1 carta al azar con 30% de probabilidad.",,opponent_invo,destroy,opponent_discard_random_card,,,,,1,0,,,0,,100,30,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
21,umbralist,rare,Final Warning,Final Warning,res://assets/sprites/card-images/final-warning.png,6,0,0,"Hace 3 daños a todas las Invocaciones enemigas y robás 1 carta. Además, les da -1 de Velocidad con 35% de probabilidad.",,,deal_damage_all_opponent_invo,player_draw_card,buff_speed_all_opponent_invo,,,,3,1,-1,0,0,0,100,100,35,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
22,no_class,epic,Mercenary’s Wisdom,Mercenary’s Wisdom,res://assets/sprites/card-images/mercenarys-wisdom.png,2,0,0,"Robás 2 cartas y obtenés 2 monedas doradas. Se EXILIA. Además, el jugador gana 1 carga de Escudo Mágico por 1 turno con 40% de probabilidad.",,,player_draw_card,player_gain_gold_coins,player_gains_magic_shield,,,,2,2,1,0,0,1,100,100,40,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
23,no_class,epic,Prosperity's Insight,Prosperity's Insight,res://assets/sprites/card-images/prosperitys-insight.png,3,0,0,"Robás 2 cartas y obtenés 3 monedas doradas. Se EXILIA. Además, el jugador gana 1 carga de Escudo Mágico por 2 turnos con 45% de probabilidad.",,,player_draw_card,player_gain_gold_coins,player_gains_magic_shield,,,,2,3,1,0,0,2,100,100,45,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
24,no_class,epic,Fortune's Embrace,Fortune's Embrace,res://assets/sprites/card-images/fortunes-embrace.png,4,0,0,"Robás 2 cartas y obtenés 4 monedas doradas. Se EXILIA. Además, el oponente descarta 1 carta al azar con 40% de probabilidad.",,,player_draw_card,player_gain_gold_coins,opponent_discard_random_card,,,,2,4,1,0,0,0,100,100,40,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
25,titan,rare,Mastodonic Force,Mastodonic Force,res://assets/sprites/card-images/mastodonic-force.png,3,0,0,"Da +3 Ataque y +2 Salud a una Invocación aliada. Además, puede darle +2 Velocidad con 75% de probabilidad.",,player_invo,buff_health,buff_attack,buff_speed,,,,2,3,2,0,0,0,100,100,75,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
26,titan,rare,Giant Growth,Giant Growth,res://assets/sprites/card-images/giant-growth.png,3,0,0,"Da +3 Ataque a una Invocación aliada y robás 1 carta. Además, obtenés 1 moneda dorada con 70% de probabilidad. Se EXILIA.",,player_invo,buff_attack,player_draw_card,player_gain_gold_coins,,,,3,1,1,0,0,0,100,100,70,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
27,arcane,rare,Decoy,Decoy,res://assets/sprites/card-images/decoy.png,3,0,0,"Da -3 de Velocidad y -3 de Ataque a una Invocación enemiga. Además, puede silenciarla por 1 turno con 40% de probabilidad.",,opponent_invo,buff_speed,buff_attack,nerf_silence,,,,-3,-3,0,0,0,1,100,100,40,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
28,umbralist,rare,Absorb Vitality,Absorb Vitality,res://assets/sprites/card-images/absorb-vitality.png,2,0,0,"Da -4 Ataque a una Invocación enemiga y robás 1 carta. Se EXILIA. Además, puede congelarla por 1 turno con 35% de probabilidad.",,opponent_invo,buff_attack,player_draw_card,nerf_frozen,,,,-4,1,0,0,0,1,100,100,35,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
29,titan,epic,Rough Blow,Rough Blow,res://assets/sprites/card-images/rough-blow.png,4,0,0,Hace 7 daños a una Invocación enemiga y puede aturdirla por 1 turno con 35% de probabilidad.,,opponent_invo,deal_damage,nerf_stun,,,,,7,0,,0,1,,100,35,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
30,arcane,rare,Mark of Oblivion,Mark of Oblivion,res://assets/sprites/card-images/mark-of-oblivion.png,6,0,0,"Destruye una Invocación enemiga y robás 1 carta. Se EXILIA. Además, el oponente descarta 1 carta al azar con 35% de probabilidad.",,opponent_invo,destroy,player_draw_card,opponent_discard_random_card,,,,1,1,0,0,0,,100,100,35,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
31,umbralist,epic,Dammnation,Dammnation,res://assets/sprites/card-images/dammnation.png,6,0,0,"Hace 5 daños a TODAS las Invocaciones. Además, el oponente descarta 2 cartas al azar con 40% de probabilidad.",,,deal_damage_all_invo,opponent_discard_random_card,,,,,5,2,,0,0,,100,40,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
32,no_class,epic,Wrath Of God,Wrath Of God,res://assets/sprites/card-images/wrath-of-god.png,9,0,0,"Destruye todas las Invocaciones y robás 2 cartas. Se EXILIA. Además, el jugador gana 2 cargas de Escudo Mágico por 2 turnos con 35% de probabilidad.",,,destroy_all_invo,player_draw_card,player_gains_magic_shield,,,,2,2,0,0,2,,100,100,35,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
33,titan,epic,Overrun,Overrun,res://assets/sprites/card-images/overrun.png,3,0,0,Da +2 de Ataque a todas las Invocaciones aliadas y +1 de Velocidad a todas ellas con 45% de probabilidad.,,,buff_attack_all_player_invo,buff_speed_all_player_invo,,,,,2,1,,0,0,,100,45,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
34,arcane,epic,Rhystic Revelation,Rhystic Revelation,res://assets/sprites/card-images/rhystic-revelation.png,3,0,0,"Robás 3 cartas. Se EXILIA. Además, da -1 de Velocidad y -1 de Ataque a todas las Invocaciones enemigas con 75% de probabilidad cada uno.",,,player_draw_card,buff_speed_all_opponent_invo,buff_attack_all_opponent_invo,,,,3,-1,-1,0,0,0,100,75,75,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
35,umbralist,epic,Ramping Season,Ramping Season,res://assets/sprites/card-images/ramping-season.png,2,0,0,"Obtenés 6 monedas doradas. Se EXILIA. Además, robás 1 carta con 50% de probabilidad.",,,player_gain_gold_coins,player_draw_card,,,,,6,1,,0,0,,100,50,,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
36,no_class,epic,Bake Demon,Bake Demon,res://assets/sprites/card-images/bake-demon.png,9,0,0,"Destruye una Invocación enemiga y obtenés 4 monedas doradas. Además, robás 1 carta con 35% de probabilidad.",,opponent_invo,destroy,player_gain_gold_coins,player_draw_card,,,,4,1,0,0,0,,100,100,35,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
37,titan,common,,Aegis Spark,res://assets/sprites/card-images/aegis-spark.png,1,0,0,Otorga 1 carga de Escudo Mágico a una Invocación aliada.,,player_invo,buff_magic_shield,,,,,,1,,,,,,100,,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
38,titan,common,,Aegis Infusion,res://assets/sprites/card-images/aegis-infusion.png,2,0,0,Otorga +2 de Ataque y 1 carga de Escudo Mágico a una Invocación aliada.,,player_invo,buff_attack,buff_magic_shield,,,,,2,1,,0,,,100,100,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
39,titan,common,,Aegis Acceleration,res://assets/sprites/card-images/aegis-acceleration.png,2,0,0,Otorga +2 de Velocidad y 1 carga de Escudo Mágico a una Invocación aliada.,,player_invo,buff_speed,buff_magic_shield,,,,,2,1,,0,,,100,100,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
40,titan,common,,Aegis Vitality,res://assets/sprites/card-images/aegis-vitality.png,2,0,0,Otorga +3 de Salud y 1 carga de Escudo Mágico a una Invocación aliada.,,player_invo,buff_health,buff_magic_shield,,,,,3,1,,0,,,100,100,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
41,titan,common,,Ward of the Titan,res://assets/sprites/card-images/ward-of-the-titan.png,1,0,0,El jugador gana 1 carga de Escudo Mágico durante 2 turnos.,,,player_gains_magic_shield,,,,,,1,,,2,,,100,,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
42,titan,rare,,Titanic Blessing,res://assets/sprites/card-images/titanic-blessing.png,3,0,0,Otorga +3 de Ataque y 2 cargas de Escudo Mágico a una Invocación aliada.,,player_invo,buff_attack,buff_magic_shield,,,,,3,2,,0,,,100,100,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
43,titan,rare,,Fortified Reflex,res://assets/sprites/card-images/fortified-reflex.png,3,0,0,"Otorga +2 de Velocidad, +3 de Salud y 1 carga de Escudo Mágico a una Invocación aliada durante 2 turnos.",,player_invo,buff_speed,buff_health,buff_magic_shield,,,,2,3,1,0,0,2,100,100,100,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
44,titan,rare,,Enduring Barrier,res://assets/sprites/card-images/enduring-barrier.png,3,0,0,El jugador gana 2 cargas permanentes de Escudo Mágico y roba 1 carta.,,,player_gains_magic_shield,player_draw_card,,,,,2,1,,,,,100,100,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
45,titan,rare,,Golden Bulwark,res://assets/sprites/card-images/golden-bulwark.png,4,0,0,"Otorga +4 de Ataque y 1 carga de Escudo Mágico a una Invocación aliada durante 3 turnos. Además, obtenés 1 moneda dorada.",,player_invo,buff_attack,buff_magic_shield,player_gain_gold_coins,,,,4,1,1,0,3,0,100,100,100,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
46,titan,epic,,Sanctuary of Giants,res://assets/sprites/card-images/sanctuary-of-giants.png,4,0,0,El jugador gana 3 cargas permanentes de Escudo Mágico y roba 2 cartas.,,,player_gains_magic_shield,player_draw_card,,,,,3,2,,,,,100,100,,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
47,titan,epic,,Colossus Aegis,res://assets/sprites/card-images/colossus-aegis.png,5,0,0,"Otorga +4 de Ataque, +4 de Salud y 2 cargas permanentes de Escudo Mágico a una Invocación aliada.",,player_invo,buff_attack,buff_health,buff_magic_shield,,,,4,4,2,0,0,,100,100,100,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
48,titan,epic,,Shielded Advance,res://assets/sprites/card-images/shielded-advance.png,4,0,0,Otorga +2 de Ataque a todas tus Invocaciones y el jugador gana 1 carga de Escudo Mágico durante 2 turnos.,,,buff_attack_all_player_invo,player_gains_magic_shield,,,,,2,1,,0,2,,100,100,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
49,titan,epic,,Titanheart Surge,res://assets/sprites/card-images/titanheart-surge.png,5,0,0,"Otorga +4 de Velocidad, +3 de Ataque y 2 cargas de Escudo Mágico a una Invocación aliada durante 2 turnos.",,player_invo,buff_speed,buff_attack,buff_magic_shield,,,,4,3,2,0,0,2,100,100,100,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
50,arcane,common,,Mute Sigil,res://assets/sprites/card-images/mute-sigil.png,1,0,0,Silencia una Invocación enemiga durante 1 turno.,,opponent_invo,nerf_silence,,,,,,0,,,1,,,100,,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
51,arcane,common,,Frost Insight,res://assets/sprites/card-images/frost-insight.png,2,0,0,Robás 1 carta y reducís en 2 la Velocidad de una Invocación enemiga. Además tiene 35% de probabilidad de congelarla durante 1 turno.,,opponent_invo,player_draw_card,buff_speed,nerf_frozen,,,,1,-2,0,0,0,1,100,100,35,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
52,arcane,common,,Arcane Concussion,res://assets/sprites/card-images/arcane-concussion.png,2,0,0,Hace 2 de daño a una Invocación enemiga. Además tiene 35% de probabilidad de aturdirla durante 1 turno.,,opponent_invo,deal_damage,nerf_stun,,,,,2,0,,0,1,,100,35,,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
53,arcane,common,,Mystic Shelter,res://assets/sprites/card-images/mystic-shelter.png,2,0,0,El jugador gana 1 carga de Escudo Mágico durante 1 turno y roba 1 carta.,,,player_gains_magic_shield,player_draw_card,,,,,1,1,,1,0,,100,100,,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
54,arcane,common,,Hex of Fracture,res://assets/sprites/card-images/hex-of-fracture.png,2,0,0,Hace 3 de daño a una Invocación enemiga y la silencia durante 1 turno con 50% de probabilidad.,,opponent_invo,deal_damage,nerf_silence,,,,,3,0,,0,1,,100,50,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
55,arcane,rare,,Deep Freeze,res://assets/sprites/card-images/deep-freeze.png,3,0,0,Reduce en 4 la Velocidad de una Invocación enemiga. Además tiene 40% de probabilidad de congelarla durante 1 turno.,,opponent_invo,buff_speed,nerf_frozen,,,,,-4,0,,0,1,,100,40,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
56,arcane,rare,,Stunning Insight,res://assets/sprites/card-images/stunning-insight.png,3,0,0,Aturde una Invocación enemiga durante 1 turno y robás 1 carta.,,opponent_invo,nerf_stun,player_draw_card,,,,,0,1,,1,0,,100,100,,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
57,arcane,rare,,Silencing Burst,res://assets/sprites/card-images/silencing-burst.png,3,0,0,Silencia una Invocación enemiga durante 2 turnos y le hace 2 de daño.,,opponent_invo,nerf_silence,deal_damage,,,,,0,2,,2,0,,100,100,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
58,arcane,rare,,Runic Protection,res://assets/sprites/card-images/runic-protection.png,3,0,0,Otorga 2 cargas de Escudo Mágico a una Invocación aliada durante 2 turnos y robás 1 carta.,,player_invo,buff_magic_shield,player_draw_card,,,,,2,1,,2,0,,100,100,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
59,arcane,epic,,Absolute Stillness,res://assets/sprites/card-images/absolute-stillness.png,5,0,0,Congela y silencia una Invocación enemiga durante 2 turnos.,,opponent_invo,nerf_frozen,nerf_silence,,,,,0,0,,2,2,,100,100,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
60,arcane,epic,,Crushing Hex,res://assets/sprites/card-images/crushing-hex.png,5,0,0,Hace 3 de daño a una Invocación enemiga y la aturde durante 1 turno. Además tiene 35% de probabilidad de hacerle 2 de daño adicionales.,,opponent_invo,deal_damage,nerf_stun,deal_damage,,,,3,0,2,0,1,0,100,100,35,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
61,arcane,epic,,Arcane Overflow,res://assets/sprites/card-images/arcane-overflow.png,4,0,0,Robás 3 cartas y el jugador gana 2 cargas de Escudo Mágico durante 2 turnos.,,,player_draw_card,player_gains_magic_shield,,,,,3,2,,0,2,,100,100,,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
62,arcane,epic,,Prismatic Lock,res://assets/sprites/card-images/prismatic-lock.png,6,0,0,"Congela una Invocación enemiga durante 1 turno. Además, tiene 65% de probabilidad de aturdirla durante 1 turno y 65% de probabilidad de silenciarla durante 1 turno.",,opponent_invo,nerf_frozen,nerf_stun,nerf_silence,,,,0,0,0,1,1,1,100,65,65,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
63,umbralist,common,,Shadow Frost,res://assets/sprites/card-images/shadow-frost.png,2,0,0,Congela una Invocación enemiga durante 1 turno.,,opponent_invo,nerf_frozen,,,,,,0,,,1,,,100,,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
64,umbralist,common,,Quietus Mark,res://assets/sprites/card-images/quietus-mark.png,2,0,0,Silencia una Invocación enemiga durante 1 turno.,,opponent_invo,nerf_silence,,,,,,0,,,1,,,100,,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
65,umbralist,common,,Nightfall Blow,res://assets/sprites/card-images/nightfall-blow.png,2,0,0,Hace 1 de daño a una Invocación enemiga. Además tiene 30% de probabilidad de aturdirla durante 1 turno.,,opponent_invo,deal_damage,nerf_stun,,,,,1,0,,0,1,,100,30,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
66,umbralist,common,,Sundered Voice,res://assets/sprites/card-images/sundered-voice.png,2,0,0,Reduce en 3 el Ataque de una Invocación enemiga y la silencia durante 1 turno con 60% de probabilidad.,,opponent_invo,buff_attack,nerf_silence,,,,,-3,0,,0,1,,100,60,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
67,umbralist,common,,Chilling Drag,res://assets/sprites/card-images/chilling-drag.png,2,0,0,Reduce en 3 la Velocidad de una Invocación enemiga y la congela durante 1 turno con 60% de probabilidad.,,opponent_invo,buff_speed,nerf_frozen,,,,,-3,0,,0,1,,100,60,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
68,umbralist,rare,,Frozen Weakness,res://assets/sprites/card-images/frozen-weakness.png,3,0,0,Congela una Invocación enemiga durante 2 turnos y reduce en 2 su Velocidad.,,opponent_invo,nerf_frozen,buff_speed,,,,,0,-2,,2,0,,100,100,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
69,umbralist,rare,,Muted Weakness,res://assets/sprites/card-images/muted-weakness.png,3,0,0,Silencia una Invocación enemiga durante 2 turnos y reduce en 2 su Ataque.,,opponent_invo,nerf_silence,buff_attack,,,,,0,-2,,2,0,,100,100,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
70,umbralist,rare,,Crippling Stun,res://assets/sprites/card-images/crippling-stun.png,3,0,0,Hace 2 de daño a una Invocación enemiga y reduce en 2 su Velocidad. Además tiene 35% de probabilidad de aturdirla durante 1 turno.,,opponent_invo,deal_damage,buff_speed,nerf_stun,,,,2,-2,0,0,0,1,100,100,35,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
71,umbralist,rare,,Veil of Panic,res://assets/sprites/card-images/veil-of-panic.png,4,0,0,Reduce en 2 el Ataque de una Invocación enemiga. Además tiene 35% de probabilidad de aturdirla durante 1 turno y 35% de probabilidad de silenciarla durante 1 turno.,,opponent_invo,buff_attack,nerf_stun,nerf_silence,,,,-2,0,0,0,1,1,100,35,35,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
72,umbralist,epic,,Umbral Collapse,res://assets/sprites/card-images/umbral-collapse.png,5,0,0,"Congela y silencia una Invocación enemiga durante 2 turnos, y además le hace 4 de daño.",,opponent_invo,nerf_frozen,nerf_silence,deal_damage,,,,0,0,4,2,2,0,100,100,100,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
73,umbralist,epic,,Abyssal Dread,res://assets/sprites/card-images/abyssal-dread.png,5,0,0,Hace 3 de daño a una Invocación enemiga. Además tiene 45% de probabilidad de aturdirla durante 2 turnos y 45% de probabilidad de silenciarla durante 2 turnos.,,opponent_invo,deal_damage,nerf_stun,nerf_silence,,,,3,0,0,0,2,2,100,45,45,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
74,umbralist,epic,,Glacial Execution,res://assets/sprites/card-images/glacial-execution.png,5,0,0,Hace 6 de daño a una Invocación enemiga y la congela durante 2 turnos.,,opponent_invo,deal_damage,nerf_frozen,,,,,6,0,,0,2,,100,100,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
75,umbralist,epic,,Silencing Ruin,res://assets/sprites/card-images/silencing-ruin.png,6,0,0,"Hace 5 de daño a una Invocación enemiga, la silencia y la aturde durante 1 turno.",,opponent_invo,deal_damage,nerf_silence,nerf_stun,,,,5,0,0,0,1,1,100,100,100,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
